涉	しょう,わたる
冠生	かんき,かんせい
完	たもつ,ひろし,ゆたか
寛一	かんいち,ひろかず
寛栄	かんえい,ひろまさ
寛瑛	かんえい,ひろあき
寛英	かんえい,ひろひで
寛乙	ひろお,ひろと
寛喜	かんき,ひろき
寛基	ともき,ひろき,もとき
寛希	かんき,ひろき
寛揮	ともき,ひろき
寛稀	かんき,ひろき
寛紀	ひろき,ひろのり
寛規	ともき,ひろき,ひろのり
寛貴	ともき,ひろき,ひろたか
寛吉	かんきち,ひろよし
寛久	ともひさ,ひろひさ,よしひさ
寛享	ひろたか,ひろゆき,よしゆき
寛恭	ひろやす,ひろゆき
寛己	ひろき,よしき
寛五	かんご,ひろゆき
寛司	かんじ,ひろし
寛史	かんじ,ともひさ,ともふみ,のりふみ,ひろし,ひろふみ,よしふみ
寛嗣	かんじ,ひろし,ひろつぐ
寛士	かんじ,ひろあき,ひろし,ひろと
寛市	かんいち,かんち
寛志	かんじ,ひろし
寛治	かんじ,ひろはる
寛昌	ともよし,ひろあき
寛人	かんと,のりと,ひろと,ひろひと,よしと,よしひと
寛仁	かんじ,ともひと,ひろと,ひろのり,ひろひと,ひろよし
寛成	かんせい,ひろしげ,ひろなり
寛晴	かんせい,ひろはる
寛正	かんせい,ともまさ,ひろまさ
寛生	ともき,ひろお,ひろき
寛太	かんた,ひろと
寛太郎	かんたろう,ともたろう
寛泰	かんた,ひろやす
寛大	かんた,かんだい,ともひろ,ひろき,ひろと,ひろまさ
寛斗	かんと,のりと,ひろと
寛渡	かんと,ひろと
寛登	かんと,ひろと
寛都	かんと,ひろと
寛土	かんと,ひろと
寛透	ひろと,ひろゆき
寛之	ともひさ,のぶゆき,ひろゆき
寛之進	とらのしん,ひろのしん
寛彦	ともひこ,ともよし,とらひこ,ひろひこ
寛彬	のりあき,ひろあき
寛武	のりたけ,ひろたけ,ひろむ
寛文	ひろふみ,ひろゆき
寛明	のぶてる,ひろあき
寛也	ともなり,のりや,ひろなり,ひろや
寛矢	のりや,ひろや
寛裕	ともひろ,ひろやす
寛陽	のりたか,ひろあき,ひろはる
寛理	ひろまさ,ひろみち
寛亮	かんすけ,ひろあき
寛和	ひろかず,ひろやす
寛晟	かんせい,ひろあき
寛橙	かんと,ひろと
寛翔	ちかと,ひろと
幹一	かんいち,みきひと
幹紀	みきとし,みきのり
幹規	みきのり,もとき
幹記	みきのり,もとのり
幹貴	ともき,みきたか,もとき
幹久	ともひさ,みきひさ
幹浩	としひろ,みきひろ
幹史	かんじ,ともひさ
